id,member_id,loan_amnt,funded_amnt,term,int_rate,installment,sub_grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,addr_state,grade,total_paid
455659,565217,7000,7000,30 months,12.87,235.44,C1,Own,102000,Verified,Dec-09,Fully Paid,Other,Snowmobile09,NH,C,8476.121587
758321,958473,7400,7400,60 months,21.36,201.7,F4,Rent,45000,Source Verified,May-11,Charged Off,Debt Consolidation,lending club loan,PA,F,8924.81
554736,714529,5500,5500,30 months,11.12,180.38,B3,Rent,33280,Source Verified,Jul-10,Fully Paid,Other,Norrell & Oz's Moving Loan,NY,B,6494.40029
775416,977669,4000,4000,60 months,17.99,101.56,E1,Mortgage,119153,Source Verified,Jun-11,Fully Paid,Other,motorcycle,CT,E,5899.52
493887,632082,8000,8000,30 months,16.07,281.56,D5,Mortgage,72000,Verified,Mar-10,Fully Paid,Other,seeking medical help,SC,D,8699.974034
469880,592920,3500,3500,30 months,8.59,110.64,A4,Own,40800,Not Verified,Dec-09,Charged Off,Home Improvement,my personal loan,NY,A,3664.79
388340,421711,15000,15000,30 months,12.84,504.27,C2,Mortgage,90000,Not Verified,Mar-09,Fully Paid,Small Business,Financing the Computer Connection,WA,C,15620.03147
142496,142492,9100,9100,30 months,10.28,294.83,C1,Mortgage,34000,Not Verified,Oct-07,Charged Off,Home Improvement,Fixing up home for wife,MO,C,6599.67
627485,804085,2400,2400,30 months,10.36,77.85,B5,Rent,22800,Not Verified,Dec-10,Fully Paid,Debt Consolidation,consolidation bills,CA,B,2795.983873
591487,759705,20000,20000,60 months,13.23,457.42,C1,Mortgage,50000,Verified,Oct-10,Fully Paid,Debt Consolidation,Molecular,WI,C,27042.9
529084,684246,12000,9925,60 months,17.19,247.68,E3,Mortgage,61000,Source Verified,Jun-10,Charged Off,Debt Consolidation,debt consolidation,MI,E,4704.88
715814,909520,22250,22250,60 months,16.77,550.23,E2,Mortgage,51690.48,Verified,Apr-11,Charged Off,Debt Consolidation,Debt Loan,NC,E,6600.56
472555,596749,16000,16000,30 months,14.96,554.32,D2,Rent,80000,Not Verified,Jan-10,Fully Paid,Debt Consolidation,CC Consolidation,CA,D,20143.70439
616504,790492,5000,5000,60 months,14.46,117.54,D2,Rent,20000,Not Verified,Nov-10,Fully Paid,Credit Card,bill consolidation,MA,D,7052.146454
670563,857256,10000,10000,60 months,9.63,210.66,B1,Mortgage,30000,Verified,Feb-11,Fully Paid,Home Improvement,NEW START,LA,B,12166.36676
537297,694086,5000,5000,60 months,13.61,115.34,C2,Rent,36672,Not Verified,Jun-10,Charged Off,Other,personal,CA,C,2426.88
636387,815252,10000,10000,30 months,6.17,305,A3,Rent,85000,Not Verified,Dec-10,Fully Paid,Other,New Furniture Loan,TX,A,10444.49442
619261,793725,6000,6000,30 months,10.36,194.62,B5,Rent,36000,Verified,Nov-10,Fully Paid,Debt Consolidation,Debt Pay Down-,GA,B,6893.484928
631700,809237,10000,10000,30 months,5.79,303.27,A2,Own,24000,Source Verified,Dec-10,Fully Paid,Other,Excavator Loan,KY,A,10917.8067
618705,793071,15000,15000,60 months,16.69,370.3,E3,Mortgage,77867,Verified,Dec-10,Fully Paid,Credit Card,CC Refinance,PA,E,16604.44005
746986,945810,4000,4000,60 months,17.49,100.47,D5,Mortgage,60000,Not Verified,May-11,Fully Paid,Other,mc trailer,AK,D,5608.662993
388872,422612,5000,5000,30 months,13.16,168.86,C3,Rent,33000,Not Verified,Apr-09,Fully Paid,Debt Consolidation,consolidate 6 payments to 1,MA,C,6028.384184
535555,692001,2400,2400,60 months,16.82,59.42,E2,Rent,33000,Verified,Jun-10,Charged Off,Other,Relocation Loan,CA,E,922.34
481485,612381,5000,5000,30 months,14.96,173.24,D2,Mortgage,80000,Not Verified,Feb-10,Fully Paid,Debt Consolidation,Good for Payback,CA,D,6236.573133
990658,1214645,8000,8000,30 months,16.77,284.31,D2,Rent,21000,Verified,Nov-11,Charged Off,Debt Consolidation,super trucker,NY,D,2646.99
449299,551827,10000,10000,30 months,13.22,338.01,C2,Own,72000,Not Verified,Oct-09,Charged Off,Home Improvement,New Home Improvement,CA,C,10890.41
787217,990732,7000,7000,30 months,10.59,227.82,B2,Rent,64000,Verified,Jun-11,Fully Paid,Debt Consolidation,loan,NY,B,7685.048804
830486,1039659,12800,12800,30 months,11.49,422.04,B4,Mortgage,67422,Verified,Aug-11,Fully Paid,Debt Consolidation,debt consolidation,CA,B,15193.09845
185684,185669,22350,22350,30 months,14.07,764.64,E3,Own,135000,Not Verified,Dec-07,Charged Off,Home Improvement,home,NY,E,14318.87
828506,1037539,1500,1500,30 months,13.99,51.26,C3,Rent,8400,Verified,Aug-11,Fully Paid,Other,personal,CT,C,1863.555673
867531,1081138,35000,25150,60 months,11.49,552.99,B4,Mortgage,144000,Verified,Sep-11,Current,Other,Major Purchase,IL,B,32022.92
718201,912381,3500,3500,60 months,16.77,86.56,E2,Rent,24000,Source Verified,Apr-11,Fully Paid,Other,Diesel Toy,CA,E,4984.033701
474333,599968,1800,1800,30 months,12.18,59.94,B4,Rent,18000,Not Verified,Jan-10,Charged Off,Other,Moving out:),MD,B,80.86
312750,312730,6000,6000,30 months,8,188.02,A3,Other,160000,Not Verified,Apr-08,Fully Paid,Other,Investment Proposal,GA,A,6768.654407
470142,593414,9600,9600,30 months,14.61,330.97,D1,Mortgage,79500,Not Verified,Dec-09,Fully Paid,Other,Fair Loan,NJ,D,11775.17062
558723,719206,20000,20000,60 months,16.45,491.16,E1,Rent,118000,Verified,Aug-10,Fully Paid,Debt Consolidation,Credit Card Consolidation Loan,CA,E,24868.83901
408728,458805,4975,4975,30 months,12.21,165.75,B5,Rent,55000,Verified,Jun-09,Fully Paid,Other,motorcycle,MA,B,5427.090978
629105,806044,6000,6000,30 months,9.99,193.58,B4,Rent,74500,Not Verified,Dec-10,Fully Paid,Small Business,New Company Investment,WI,B,6969.922304
368445,382992,10000,10000,30 months,13.16,337.71,C3,Own,45996,Verified,Jan-09,Fully Paid,Debt Consolidation,Pay down Principal,MI,C,11685.16939
997329,1222430,14000,14000,60 months,14.65,330.5,C3,Mortgage,74000,Not Verified,Oct-11,Charged Off,Debt Consolidation,Debt Consolidation,KY,C,4699.91
583745,750099,24250,24250,60 months,11.49,533.2,B4,Rent,145000,Source Verified,Sep-10,Fully Paid,Debt Consolidation,Debt Be Gone!,FL,B,31973.79998
1046641,1277494,17250,17250,30 months,19.42,635.99,E3,Rent,60000,Verified,Dec-11,Fully Paid,Credit Card,Credit Card Loan,GA,E,22149.94859
672692,859893,8500,8500,30 months,13.43,288.17,C3,Rent,25000,Verified,Feb-11,Fully Paid,Debt Consolidation,Out of debt for Stanley,CA,C,10383.60194
856434,1068793,25000,25000,30 months,5.99,760.44,A2,Rent,50000,Verified,Aug-11,Fully Paid,Debt Consolidation,pay off,CT,A,27130.58233
575333,740017,8000,8000,30 months,15.58,279.61,D3,Mortgage,80000,Source Verified,Sep-10,Fully Paid,Debt Consolidation,loan,VA,D,9012.038059
683595,872939,12000,12000,30 months,7.29,372.12,A4,Rent,32000,Source Verified,Feb-11,Fully Paid,Other,home down payment,NV,A,13396.25367
466799,586645,20000,20000,30 months,11.14,656.07,B1,Mortgage,120000,Not Verified,Dec-09,Fully Paid,Other,Loan,IL,B,23620.4874
543811,701543,15000,15000,60 months,15.95,364.38,D4,Mortgage,50000,Source Verified,Jul-10,Fully Paid,Credit Card,Debt Consolidation,TX,D,20245.63008
417536,454044,8000,8000,30 months,12.53,267.73,C1,Rent,45000,Verified,Jun-09,Fully Paid,Other,School Loan,CA,C,9503.893318
